566,986,2
871,430,1
416,521,5
838,158,4
762,447,5
939,412,1
329,640,3
911,267,4
992,840,2
571,517,2
891,315,2
645,62,1
567,738,2
964,231,1
421,895,2
794,48,4
916,560,2
249,447,4
998,37,2
913,72,1
461,571,5
684,319,1
395,709,5
837,839,5
395,197,1
67,363,5
879,395,4
48,947,4
383,466,4
533,489,4
491,960,2
915,74,2
277,875,3
335,144,3
573,592,2
574,221,5
789,743,2
176,985,3
142,420,1
339,452,1
136,727,2
69,682,1
604,747,3
741,713,4
799,653,4
618,634,2
678,546,1
200,356,4
799,642,5
822,22,1
430,549,4
388,583,3
608,402,1
321,833,1
833,153,4
874,483,5
29,389,3
69,594,1
755,672,1
251,688,5
77,163,5
814,319,3
655,216,5
657,570,3
216,52,4
807,671,4
930,312,4
571,567,4
61,75,1
787,876,2
111,128,5
401,390,5
487,950,1
709,399,3
975,948,2
273,546,3
191,60,1
245,445,4
327,981,5
37,69,4
292,282,5
296,671,2
724,485,3
347,455,1
7,274,3
170,448,4
922,132,4
848,430,3
507,82,4
242,214,5
296,68,1
328,825,4
602,30,4
778,851,3
440,797,2
405,573,5
322,186,3
115,157,5
963,894,5
26,353,5
109,231,3
345,137,5
778,281,5
901,342,4
136,881,2
304,246,2
16,42,4
14,390,4
731,298,5
466,893,4
316,236,4
199,509,2
958,733,5
179,774,1
170,704,5
98,654,4
85,538,1
364,366,1
66,139,1
176,509,5
490,961,3
280,84,5
288,234,3
788,387,5
712,102,3
327,506,4
891,125,4
180,31,4
511,233,4
749,432,4
267,189,1
448,159,5
139,752,1
718,723,2
490,4,4
169,974,1
127,91,4
184,221,3
523,352,5
648,473,3
159,43,2
509,486,2
848,540,1
50,370,2
298,447,3
812,967,5
318,707,1
452,198,4
918,35,4
634,471,1
28,185,5
368,171,1
421,446,4
738,414,5
369,551,4
299,881,5
228,856,4
7,935,3
180,59,3
433,146,2
765,501,5
10,610,1
38,419,2
487,589,3
562,746,5
221,879,3
706,756,4
363,972,4
553,218,3
859,262,1
829,467,4
843,510,3
23,740,2
521,843,5
328,127,2
9,24,5
772,356,3
797,670,4
235,321,1
655,268,3
757,19,5
889,680,1
581,450,3
867,580,5
497,766,5
5,674,3
743,543,5
369,129,5
779,839,1
607,350,1
135,563,1
528,300,3
381,338,1
31,9,3
24,713,5
860,598,1
406,960,4
755,64,3
415,813,5
463,732,5
58,305,5
316,902,5
153,255,2
971,650,1
774,32,3
355,240,2
80,171,4
880,529,1
639,176,4
884,919,3
741,239,4
909,124,2
632,110,5
861,276,3
185,122,4
766,748,5
481,467,3
91,586,2
236,93,4
930,333,1
983,431,4
954,317,4
351,497,3
38,328,1
438,300,3
519,815,5
517,598,5
955,431,2
826,302,1
860,643,1
93,531,5
296,136,3
93,507,2
295,578,5
27,359,5
100,505,2
818,284,1
687,538,3
388,218,2
252,555,1
639,319,2
44,62,2
545,985,5
76,890,1
306,383,1
410,504,1
579,941,1
852,968,2
362,970,2
42,772,4
334,63,4
594,794,2
14,149,4
565,293,4
753,546,4
103,986,2
41,943,4
142,754,4
298,116,1
120,269,4
828,208,5
107,171,4
647,362,5
338,886,3
398,389,1
576,836,2
303,888,3
874,743,5
486,859,4
792,948,1
16,210,1
824,105,2
81,589,2
241,832,5
402,858,4
742,673,3
959,450,2
195,384,5
465,271,5
946,699,3
727,982,1
700,2,1
192,54,4
628,395,3
482,205,2
316,461,4
33,456,2
902,127,4
453,615,4
96,933,2
674,656,5
343,425,3
567,923,2
61,277,2
146,7,5
706,905,2
770,116,2
755,26,1
362,989,5
609,952,3
374,25,1
899,171,4
567,375,2
48,399,5
881,965,3
639,615,4
124,368,5
944,214,3
3,484,5
525,615,5
981,245,1
851,513,4
349,533,5
927,690,2
335,937,4
142,678,2
705,537,3
554,422,4
243,657,1
247,538,2
468,239,4
